Map 75: server room  (50x30, tileset=3)

  Event 1: EV001 @ (24,14)
  Event 2: EV002 @ (25,14)
  Event 3: EV003 @ (14,16)
    Page0: trigger=0  <face [CHECKING...CHECKING...]> | <face [TERMINAL DOES NOT RESPOND.]> | <face [THIS IS A PROBLEM.]>
  Event 4: indoors @ (28,11)
  Event 5: EV005 @ (32,16)
    Page0: trigger=0  <face [ALL OF THESE TERMINALS DO NOT BOOT.]> | <face [I AM NOT SURE WHAT TO DO NOW.]>
  Event 6: EV006 @ (18,17)
    Page0: trigger=0  <face @niko Some of the ink on this page is faded.> | <face $-likely due some sort of electrical or magnetic interference.> | <face $I'm afraid this operation can no longer be sustained, if the servers continue to fail so much that maintenance cannot keep up the pace.> | <face $Fortunately, it does not seem to be happening to the robots.> | <face $At least, not at a significant rate.> | <face $Time will tell.>
  Event 7: map events @ (16,11)
    Page0: trigger=3  <face @niko I'm pretty sure these are computers, now...>
  Event 8: exit left @ (14,15)
  Event 9: exit left @ (13,15)
  Event 10: exit left @ (15,15)
  Event 11: exit left @ (16,15)
  Event 12: exit left @ (17,15)
  Event 13: exit left @ (18,15)
  Event 14: exit left @ (20,15)
  Event 15: exit left @ (19,15)
  Event 16: exit left @ (21,15)
  Event 17: exit left @ (22,15)
  Event 18: exit left @ (23,15)
  Event 19: exit left @ (27,15)
  Event 20: exit left @ (26,15)
  Event 21: exit left @ (28,15)
  Event 22: exit left @ (29,15)
  Event 23: exit left @ (30,15)
  Event 24: exit left @ (31,15)
  Event 25: exit left @ (32,15)
  Event 26: exit left @ (33,15)
  Event 27: exit left @ (34,15)
  Event 28: exit left @ (35,15)
  Event 29: exit left @ (36,15)
