Map 84: ground 1  (136x54, tileset=12)

  Event 1: block @ (18,17)
  Event 2: block @ (18,18)
  Event 3: block @ (18,19)
  Event 4: block @ (19,16)
  Event 5: block @ (20,16)
  Event 6: block @ (21,16)
  Event 7: block @ (22,16)
  Event 8: EV008 @ (124,18)
    Page0: trigger=0  <face [EVENING NEWS! EVENING NEWS!]> | <face [ARE YOU HERE TO PURCHASE A COPY?]> | <face @niko ...No?> | <face @niko_speak Newspapers are for grown-ups!> | <face [GROWN...UPS?]> | <face @niko Yeah!> | <face [WHAT DOES THAT MEAN?]> | <face @niko_speak It means people who aren't kids!> | <face [KIDS?]> | <face @niko ...er...aren't you a kid?> | <face [I AM A ROBOT.]> | <face @niko_eyeclosed Right...>
  Event 9: EV009 @ (20,17)
    Page0: trigger=0  <face Don't lose faith.> | <face Sigh...> | <face @niko You alright?> | <face Ah, the messiah. Perhaps this is a sign.> | <face Tell me, do you think you can fix the world with the sun?> | <face @niko_eyeclosed Honestly, I don't know...> | <face @niko I've been getting mixed messages...> | <face I know.> | <face But what do YOU think?> | <face @niko I...think....> | <face @niko_speak ...I think I should listen to \p!> | <face @niko After all, \p helped me get this far.> | <face I will take your faith for an answer, then.> | <face @niko What do you mean by that?> | <face It means whatever you think it means.>
  Event 10: npc_randy @ (28,21)
    Page0: trigger=0  <face [BEEP BOOP]> | <face @niko Beep boop.>
  Event 11: EV011 @ (91,16)
  Event 12: EV012 @ (89,9)
  Event 13: EV013 @ (90,9)
  Event 14: EV014 @ (91,9)
  Event 15: east exit @ (124,29)
  Event 16: north exit @ (87,11)
  Event 17: tower door right @ (87,28)
    Page0: trigger=1  <face @niko It's locked from the inside.>
  Event 18: tower door left @ (86,28)
    Page0: trigger=1  <face @niko It's locked from the inside.>
  Event 19: EV019 @ (106,17)
  Event 20: EV020 @ (107,17)
  Event 21: button @ (41,19)
    Page0: trigger=0  <face @niko The elevator's button panel.>
  Event 22: elevator doors @ (39,19)
    Page2: trigger=0  <face @niko This elevator goes back up to the catwalks.> | <face @niko_speak We'll need to press the button if we wanna go back up!>
  Event 23: npc_plight @ (40,20)
    Page0: trigger=3  <face @plight Anyway, it was nice meeting you....uh> | <face @niko_speak Niko!> | <face @plight ...Right. See you around, kid.> | <face @plight Gotta run now!> | <face @niko He seems in a hurry...> | <face @niko I guess we should hurry too, \p.> | <face @niko_speak People are counting on us!> | <face @niko Let's go find that library.>
  Event 24: FAST TRAVEL @ (39,20)
  Event 25: MapDoorEventSpawn @ (86,25)
  Event 26: MapDoorEvent @ (87,25)
  Event 27: EV027 @ (32,16)
  Event 28: EV028 @ (32,15)
  Event 29: EV029 @ (46,15)
  Event 30: EV030 @ (46,16)
  Event 31: EV031 @ (57,16)
  Event 32: EV032 @ (68,16)
  Event 33: EV033 @ (79,16)
  Event 34: EV034 @ (101,16)
  Event 35: EV035 @ (112,16)
  Event 36: EV036 @ (123,16)
  Event 37: EV037 @ (57,15)
  Event 38: EV038 @ (68,15)
  Event 39: EV039 @ (79,15)
  Event 40: EV040 @ (101,15)
  Event 41: EV041 @ (112,15)
  Event 42: EV042 @ (123,15)
  Event 43: EV043 @ (124,23)
  Event 44: EV044 @ (117,23)
  Event 45: EV045 @ (108,23)
  Event 46: EV046 @ (101,23)
  Event 47: EV047 @ (94,23)
  Event 48: EV048 @ (87,23)
  Event 49: EV049 @ (80,23)
  Event 50: EV050 @ (73,23)
  Event 51: EV051 @ (66,23)
  Event 52: EV052 @ (59,23)
  Event 53: EV053 @ (52,23)
  Event 54: EV054 @ (46,23)
  Event 55: EV055 @ (32,23)
  Event 56: EV056 @ (35,26)
  Event 57: EV057 @ (43,26)
  Event 58: EV058 @ (25,23)
  Event 59: EV059 @ (25,22)
  Event 60: EV060 @ (32,22)
  Event 61: EV061 @ (35,25)
  Event 62: EV062 @ (43,25)
  Event 63: EV063 @ (46,22)
  Event 64: EV064 @ (52,22)
  Event 65: EV065 @ (59,22)
  Event 66: EV066 @ (66,22)
  Event 67: EV067 @ (73,22)
  Event 68: EV068 @ (80,22)
  Event 69: EV069 @ (87,22)
  Event 70: EV070 @ (94,22)
  Event 71: EV071 @ (108,22)
  Event 72: EV072 @ (101,22)
  Event 73: EV073 @ (117,22)
  Event 74: EV074 @ (124,22)
