Map 120: observation deck  (140x36, tileset=15)

  Event 1: mark3 @ (133,18)
  Event 2: south exit @ (26,26)
  Event 3: init @ (24,22)
  Event 4: mark1 @ (49,17)
  Event 5: mark1 @ (49,18)
  Event 6: mark1 @ (49,19)
  Event 7: mark2 @ (85,17)
  Event 8: mark2 @ (85,18)
  Event 9: mark2 @ (85,19)
  Event 10: mark3 @ (133,17)
  Event 11: mark3 @ (133,19)
  Event 12: outdoor graphic @ (20,25)
  Event 13: FAST TRAVEL @ (28,17)
  Event 14: balcony @ (25,11)
  Event 16: Map Events @ (34,24)
    Page0: trigger=3  <face @niko_speak Wow....> | <face @niko ...> | <face @niko I've...actually never been to a big city before!> | <face @niko All these lights... all these people...> | <face @niko I guess most of this world's population lives here...> | <face @niko It's very different from my village.> | <face @niko_speak The village is very small, and surrounded by huge fields!> | <face @niko You saw a bit of that in one of my dreams from a while ago...> | <face @niko_speak The tallest buildings in our village are only two stories tall!> | <face @niko ...> | <face @niko_speak What about you, \p?> | <face @niko Where do you live?> | <face > | <face @niko_speak A city? Like this?> | <face @niko Wow....> | <face @niko_eyeclosed I can't imagine living in a city...> | <face @niko_speak Must be exciting!> | <face @niko_eyeclosed ...And... kinda scary...> | <face @niko The view is nice, though!> | <face @niko A village?> | <face @niko_speak Just like me!> | <face @niko Can you imagine living in a city like this?> | <face @niko_eyeclosed I can't...> | <face @niko_eyeclosed ...It's... kinda scary....> | <face @niko_speak But also really cool!> | <face @niko_speak Something that isn't a city or village?> | <face @niko ....> | <face @niko_speak Like a ship?> | <face @niko_eyeclosed ...Well, maybe not a ship...> | <face @niko Can you imagine living in a city like this, though?> | <face @niko_eyeclosed I can't...> | <face @niko_eyeclosed ...It's... kinda scary....> | <face @niko_speak But also really cool!>
