Map 205: Courtyard  (70x50, tileset=4)

  Event 1: EV001 @ (51,17)
    Page0: trigger=0  <face @niko It's a ball.> | <face @alula That's mine!\>\n\@alula_pout It doesn't bounce around as much as it used to, though...>
  Event 2: decorative bell @ (48,15)
  Event 3: north door @ (41,16)
  Event 4: EV004 @ (24,11)
  Event 5: EV005 @ (25,11)
  Event 6: calamus npc @ (25,17)
    Page1: trigger=0  <face @calamus_sad At least the courtyard is unaffected for now...>
  Event 7: calamus npc @ (32,18)
    Page1: trigger=0  <face @alula_pout We usually get to the burial grounds through our friend, but...> | <face @alula_oh ...he hasn't been here in forever!> | <face @calamus Normally this courtyard would be where we meet up...> | <face @alula I hope he comes back soon...>
  Event 8: FAST TRAVEL @ (24,12)
  Event 9: coals @ (29,14)
  Event 10: coals @ (31,14)
  Event 11: coals @ (32,14)
  Event 12: coals @ (33,14)
  Event 13: coals @ (30,13)
  Event 14: coals @ (31,13)
  Event 15: coals @ (32,13)
  Event 16: coals @ (33,13)
  Event 19: EV019 @ (39,8)
  Event 20: EV020 @ (52,8)
  Event 21: EV021 @ (56,9)
  Event 22: EV022 @ (58,8)
  Event 24: init @ (24,7)
  Event 25: EV025 @ (48,31)
  Event 26: coals @ (51,11)
  Event 27: coals @ (52,11)
  Event 28: coals @ (53,11)
  Event 29: coals @ (54,11)
  Event 31: coals @ (30,14)
