Map 231: ground 1  (136x54, tileset=12)

  Event 1: block @ (18,17)
  Event 2: block @ (18,18)
  Event 3: block @ (18,19)
  Event 4: block @ (19,16)
  Event 5: block @ (20,16)
  Event 6: block @ (21,16)
  Event 7: block @ (22,16)
  Event 8: FAST TRAVEL @ (106,18)
  Event 9: EV009 @ (87,27)
  Event 11: EV011 @ (91,16)
  Event 12: EV012 @ (89,9)
  Event 13: EV013 @ (90,9)
  Event 14: EV014 @ (91,9)
  Event 15: east exit @ (124,29)
  Event 16: north exit @ (87,11)
  Event 17: tower door right @ (87,28)
    Page0: trigger=1  <face @niko_eyeclosed The squares are here too...>
  Event 18: EV018 @ (86,28)
    Page0: trigger=0  <face @niko_eyeclosed The squares are here too...>
  Event 19: EV019 @ (106,17)
  Event 20: EV020 @ (107,17)
  Event 21: EV021 @ (84,23)
  Event 22: elevator doors @ (39,19)
  Event 23: EV023 @ (83,18)
  Event 24: EV024 @ (86,19)
  Event 25: MapDoorEventSpawn @ (86,25)
  Event 26: MapDoorEvent @ (87,25)
  Event 27: EV027 @ (32,16)
  Event 28: EV028 @ (32,15)
  Event 29: EV029 @ (46,15)
  Event 30: EV030 @ (46,16)
  Event 31: EV031 @ (57,16)
  Event 32: EV032 @ (68,16)
  Event 33: EV033 @ (79,16)
  Event 34: EV034 @ (101,16)
  Event 35: EV035 @ (112,16)
  Event 36: EV036 @ (123,16)
  Event 37: EV037 @ (57,15)
  Event 38: EV038 @ (68,15)
  Event 39: EV039 @ (79,15)
  Event 40: EV040 @ (101,15)
  Event 41: EV041 @ (112,15)
  Event 42: EV042 @ (123,15)
  Event 43: EV043 @ (124,23)
  Event 44: EV044 @ (117,23)
  Event 45: EV045 @ (108,23)
  Event 46: EV046 @ (101,23)
  Event 47: EV047 @ (94,23)
  Event 48: EV048 @ (87,23)
  Event 49: EV049 @ (80,23)
  Event 50: EV050 @ (73,23)
  Event 51: EV051 @ (66,23)
  Event 52: EV052 @ (59,23)
  Event 53: EV053 @ (52,23)
  Event 54: EV054 @ (46,23)
  Event 55: EV055 @ (32,23)
  Event 56: EV056 @ (35,26)
  Event 57: EV057 @ (43,26)
  Event 58: EV058 @ (25,23)
  Event 59: EV059 @ (25,22)
  Event 60: EV060 @ (32,22)
  Event 61: EV061 @ (35,25)
  Event 62: EV062 @ (43,25)
  Event 63: EV063 @ (46,22)
  Event 64: EV064 @ (52,22)
  Event 65: EV065 @ (59,22)
  Event 66: EV066 @ (66,22)
  Event 67: EV067 @ (73,22)
  Event 68: EV068 @ (80,22)
  Event 69: EV069 @ (87,22)
  Event 70: EV070 @ (94,22)
  Event 71: EV071 @ (108,22)
  Event 72: EV072 @ (101,22)
  Event 73: EV073 @ (117,22)
  Event 74: EV074 @ (124,22)
  Event 75: EV075 @ (84,20)
  Event 76: EV076 @ (87,21)
  Event 77: EV077 @ (85,22)
  Event 78: EV078 @ (85,18)
  Event 79: EV079 @ (86,20)
  Event 80: EV080 @ (85,21)
  Event 81: EV081 @ (83,22)
  Event 82: EV082 @ (97,22)
  Event 83: EV083 @ (95,18)
  Event 84: EV084 @ (110,19)
  Event 85: EV085 @ (121,22)
  Event 86: EV086 @ (123,18)
