Map 85: ground 2  (136x54, tileset=12)

  Event 1: tower door left @ (15,18)
  Event 2: npc_camera @ (56,18)
    Page0: trigger=0  <face @niko \p and I fixed the camera!> | <face Aw, sweet!> | <face Are you here for your photos?> | <face @niko_speak Actually, yeah!> | <face @niko I need to take a picture for....\. reasons.> | <face Well, I got good news and bad news.> | <face The good news is that the photo center is right behind me.> | <face @niko The bad news is that.... it doesn't work, right?> | <face Heh, you're catching on quick.> | <face After operations ended in the Barrens, this place got shut down.> | <face All of the engineers lost their jobs and became street vendors.> | <face @niko_speak Maybe \p and I can figure it out from them!> | <face That's good!> | <face It would certainly help out people with expired IDs.> | <face ...Like me.> | <face Are you here for your photos?> | <face @niko No?> | <face Alrighty then.> | <face I'll just... uh...> | <face ...stand here.>
  Event 3: EV003 @ (28,33)
  Event 4: EV004 @ (30,36)
  Event 5: tower door right @ (16,18)
  Event 6: !vendor @ (88,17)
    Page0: trigger=0  <face Hey kid!> | <face Want some soup dumplings? They're guaranteed to contain only a minimal amount of industrial byproducts!> | <face @niko I'll... pass...> | <face @niko Can you tell me how to get the camera working again?> | <face Yes, yes, certainly. The thick lens should be positioned to the left of both of the curved lenses.>
  Event 7: !vendor @ (33,17)
    Page0: trigger=0  <face @niko Actually... I do want to hear about it!> | <face Curiosity killed the cat, eh?> | <face @niko_eyeclosed I'm not a cat...> | <face Ok so!> | <face I've invented a medicine to prepare everyone for the upcoming water shortage!> | <face All you gotta do is dissolve one of these pills in water.> | <face And then you drink the water.> | <face And then you never need to drink water again!> | <face @niko_speak What!> | <face It also makes plants grow faster!> | <face @niko How... does it work?> | <face Here, why don't you take a free sample?> | <face @niko_speak Oh!> | <face @niko Thanks?> | <face Don't thank me! Go spread the word!> | <face Hey hey!> | <face Ready for me to blow your mind?> | <face Ok so!> | <face I've invented a medicine to prepare everyone for the upcoming water shortage!> | <face All you gotta do is dissolve one of these pills in water.> | <face And then you drink the water.> | <face And then you never need to drink water again!> | <face @niko_speak What!> | <face It also makes plants grow faster!> | <face @niko How... does it work?> | <face Here, why don't you take a free sample?> | <face @niko_speak Oh!> | <face @niko Thanks?> | <face Don't thank me! Go spread the word!> | <face Aww, but...> | <face @niko_speak Can you tell me how to fix the camera?> | <face Hmm... It's been a while.> | <face I'm pretty sure that the bulgy lens goes on one of the ends, but I forget which.>
    Page1: trigger=0  <face This is going to help so many people...> | <face ...and also make me rich and famous and cool.> | <face Actually... I exaggerated.> | <face The effects of the pill wears off in like a week.> | <face But all you have to do is just take another pill!> | <face @niko_speak Can you tell me how to fix the camera?> | <face Hmm... It's been a while.> | <face I'm pretty sure that the bulgy lens goes on one of the ends, but I forget which.>
  Event 8: FAST TRAVEL @ (60,18)
  Event 9: west exit @ (11,32)
  Event 10: EV010 @ (60,17)
  Event 11: EV011 @ (61,17)
  Event 12: !vendor @ (44,17)
    Page0: trigger=0  <face @niko This stand smells a bit like burnt sugar...> | <face Yup... still gettin' the hang of making these fried candy skewers...> | <face They don't taste too bad, though! Do you want one?> | <face @niko It's okay, thank you!> | <face @niko_speak You used to be one of the camera engineers, right?> | <face The camera? Oh, joyous memories. We went through thick and thin together.> | <face And by that I mean the concave lens did.>
  Event 13: !vendor @ (77,17)
    Page0: trigger=0  <face @niko_speak This smells kinda nice!> | <face @niko What is it?> | <face Breaded fish!> | <face I toasted the bread myself!> | <face @niko_what ...I... see...> | <face @niko_speak Is there anything you remember about how to work the camera?> | <face Let me see... When arranging the lenses, make sure that the thin lens is positioned between the two curved ones.>
  Event 14: EV014 @ (19,17)
  Event 15: EV015 @ (20,16)
  Event 16: EV016 @ (21,16)
  Event 17: EV017 @ (22,16)
  Event 18: EV018 @ (23,16)
  Event 19: EV019 @ (88,36)
  Event 20: EV020 @ (89,36)
  Event 21: EV021 @ (90,36)
  Event 22: EV022 @ (91,36)
  Event 23: MapDoorEvent @ (16,16)
