Map 38: Ruins In  (94x114, tileset=5)

  Event 1: vines @ (17,71)
  Event 2: vines @ (18,71)
  Event 3: vines @ (19,71)
  Event 4: vines @ (20,71)
  Event 5: vines @ (17,70)
  Event 6: ruins out exit left @ (18,70)
  Event 7: ruins out exit right @ (19,70)
  Event 8: vines @ (20,70)
  Event 9: vines @ (17,69)
  Event 10: vines @ (18,69)
  Event 11: vines @ (19,69)
  Event 12: vines @ (20,69)
  Event 13: vines @ (17,68)
  Event 14: vines @ (18,68)
  Event 15: vines @ (19,68)
  Event 16: vines @ (20,68)
  Event 17: the wall exit left @ (33,18)
  Event 18: the wall exit right @ (34,18)
  Event 19: maize entrance left @ (68,97)
  Event 20: maize entrance right @ (69,97)
  Event 21: left alula door @ (16,48)
  Event 22: right alula door @ (17,48)
  Event 23: EV023 @ (21,71)
    Page0: trigger=0  <face [HAVE YOU FOUND THE SOURCE OF THE DISTRESS?]> | <face [THESE VINES APPEARED MERE MINUTES AGO.]> | <face @niko Really?> | <face @niko_eyeclosed I've been seeing a lot of them in doorways and stuff...> | <face @niko I just assumed it was cuz this place was abandoned...> | <face [A SIGN OF DISTRESS.]> | <face @niko ...huh?> | <face [A LIVING BEING IS IN NEED OF HELP.]> | <face [BUT I CANNOT TRACE THE SOURCE.]> | <face @niko ...ah.>
    Page1: trigger=0  <face [THE VINES RECEDED.]> | <face [DO YOU KNOW WHAT HAPPENED?]> | <face @niko I found this... plant person.> | <face @niko_eyeclosed She was barely holding on...> | <face @niko I gave her the sun for now, but...> | <face @niko_eyeclosed She said it was too late for her...> | <face [I UNDERSTAND.]> | <face [I NEED TO REPORT THIS TO THE CITY.]>
  Event 24: vines @ (28,34)
  Event 25: map events @ (21,19)
    Page0: trigger=3  <face @niko A cluster of vines are blocking the way...>
  Event 26: vines @ (29,34)
  Event 27: EV027 @ (17,36)
  Event 28: EV028 @ (16,36)
  Event 29: indoors @ (25,13)
  Event 30: no pass @ (79,70)
  Event 31: vines @ (28,37)
  Event 32: vines @ (29,37)
  Event 33: vines @ (30,37)
  Event 34: vines @ (31,37)
  Event 35: vines @ (28,36)
  Event 36:  @ (29,36)
  Event 37: vines @ (30,36)
  Event 38: vines @ (31,36)
  Event 39: vines @ (28,35)
  Event 40: vines @ (29,35)
  Event 41: vines @ (30,35)
  Event 42: vines @ (31,35)
  Event 43: vines @ (30,34)
  Event 44: vines @ (31,34)
  Event 45: no pass @ (79,71)
  Event 46: no pass @ (79,72)
  Event 47: no pass @ (79,73)
  Event 51: computer door left @ (60,34)
  Event 52: computer door left @ (61,34)
  Event 53: EV053 @ (86,75)
  Event 54: EV054 @ (77,76)
    Page0: trigger=0  <face [HELLO, PEOPLE.]> | <face [TWO CHILDREN RESIDE NEAR HERE.]> | <face @alula_speak I'm one of 'em!> | <face [HELLO, PERSON.]> | <face [TWO CHILDREN RESIDE NEAR HERE.]>
